Let's try something.	Mari kita coba sesuatu.
I have to go to sleep.	Aku harus pergi tidur.
Today is June 18th and it is Muiriel's birthday!	Hari ini tanggal 18 Juni dan merupakan ulang tahunnya Muiriel!
Muiriel is 20 now.	Muiriel berumur 20 sekarang.
The password is "Muiriel".	Kata sandinya adalah "Muiriel".
I will be back soon.	Aku akan segera kembali.
This is never going to end.	Hal ini tidak akan pernah berakhir.
I just don't know what to say.	Aku tidak tahu harus bilang apa.
That was an evil bunny.	Itu kelinci yang jahat.
I was in the mountains.	Aku di gunung.
Is it a recent picture?	Apakah ini gambar yang tadi?
Education in this world disappoints me.	Pendidikan di dunia ini mengecewakanku.
You're in better shape than I am.	Anda berada dalam kondisi yang lebih baik daripada aku.
You are in my way.	Kau berada di jalanku.
It's because you don't want to be alone.	Itu karena kamu tidak ingin sendiri.
That won't happen.	Itu tidak akan terjadi.
Sometimes he can be a strange guy.	Terkadang dia bisa menjadi orang aneh.
I'll do my best not to disturb your studying.	Kulakukan yang terbaik agar tidak mengganggumu belajar.
I miss you.	Aku merindukanmu.
You should sleep.	Kamu harus tidur.
I'm going to go.	Aku akan pergi.
I once wanted to be an astrophysicist.	Aku pernah ingin menjadi seorang astronom fisika.
It is unfortunately true.	Sayang, benar.
Most people think I'm crazy.	Banyak orang mengira aku gila.
He's kicking me!	Dia menendangku!
Are you sure?	Apakah kamu yakin?
Oh, there's a butterfly!	Eh, ada kupu-kupu!
It depends on the context.	Itu tergantung pada konteks.
Are you freaking kidding me?!	Apa kau bercanda!?
That's the stupidest thing I've ever said.	Itu hal terbodoh yang pernah kuucapkan.
When I grow up, I want to be a king.	Saat besar nanti, aku ingin menjadi raja.
So what?	Terus kenapa?
That was probably what influenced their decision.	Itu mungkin yang mempengaruhi keputusan mereka.
I've always wondered what it'd be like to have siblings.	Aku selalu penasaran seperti apa jadinya kalau memiliki saudara.
That's because you're a girl.	Itu karena kamu perempuan.
How long did you stay?	Berapa lama kamu menginap?
I think my living with you has influenced your way of living.	Aku pikir hidupku bersamamu telah berpengaruh pada cara hidupmu.
If you look at the lyrics, they don't really mean much.	Kalau kamu melihat liriknya, kamu akan tahu kalau itu tidak berarti banyak.
If you didn't know me that way then you simply didn't know me.	Bila kamu tidak tahu bahwa aku seperti itu maka kamu tidak mengenalku.
I don't know what you mean.	Aku tidak tahu apa maksudmu.
Can it be phrased in another way?	Bisakan itu diungkapkan dengan cara lain?
I love you.	Aku cinta kamu.
I don't like you anymore.	Aku sudah tidak menyukaimu lagi.
Congratulations!	Selamat!
I don't want to wait that long.	Saya tidak ingin menunggu selama itu.
I have nothing better to do.	Tidak ada hal lain yang bisa kulakukan.
I can't explain it either.	Aku juga tidak dapat menjelaskannya.
Don't underestimate my power.	Jangan meremehkan kekuatanku.
My mom doesn't speak English very well.	Ibuku tidak bisa bahasa Inggris dengan baik.
Nothing is beautiful but the truth.	Tiada kecantikan selain kebenaran.
Nobody understands me.	Tidak ada yang mengerti aku.
I suppose that behind each thing we have to do, there's something we want to do...	Aku rasa di balik hal-hal yang harus kita lakukan, ada hal-hal yang ingin kita lakukan...
It can't be!	Tidak mungkin!
Would you like something to drink?	Apakah kamu mau minuman?
"Thank you for helping me." "Don't mention it."	"Terima kasih karena kamu tolong saya." "Terima kasih kembali."
Please don't cry.	Janganlah menangis.
It may be that the happiness awaiting us is not at all the sort of happiness we would want.	Mungkin kebahagiaan yang sedang menunggu kita bukanlah kebahagiaan yang kita inginkan.
The archer killed the deer.	Pemanah itu membunuh rusanya.
If you don't eat, you die.	Kau akan mati jika kau tidak makan.
